Section,section_id,req_id,Test Availability,Annotation? ,New Req for R?,New CTS for R?,class_def,method,module,Comment(internal) e.g. why a test is not possible ,Comment (external) ,New vs Updated(Q),CTS Bug Id ,CDD Bug Id,CDD CL,Area,Shortened,Test Level,,external version,,,
,9.1,C-2-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-1-9,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-1-10,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-0-3,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-0-4,,,Yes,,,,,,,,,,,,,,,,,,
,9.10.,C-0-5,,,Yes,,,,,,,,,,,,,,,,,,
9.11.3 Identity Credential,9.11.3,C-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.11.3,C-0-2,,,Yes,,,,,,,,,,,,,,,,,,
,9.11.3,C-0-3,,,Yes,,,,,,,,,,,,,,,,,,
,9.11.3,C-0-4,,,Yes,,,,,,,,,,,,,,,,,,
9.16. Applciation Data Migration,9.16,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.16,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,9.16,C-1-3,,,Yes,,,,,,,,,,,,,,,,,,
,9.16,C-1-4,,,Yes,,,,,,,,,,,,,,,,,,
,9.16,C-1-5,,,Yes,,,,,,,,,,,,,,,,,,
,9.5,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
9.8.10. Connectivity Bug Report,9.8.10,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.8.10,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
,9.8.10,C-1-3,,,Yes,,,,,,,,,,,,,,,,,,
,9.8.10,C-1-4,,,Yes,,,,,,,,,,,,,,,,,,
9.8.11. Data blobs sharing,9.8.11,C-1-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.8.11,C-1-2,,,Yes,,,,,,,,,,,,,,,,,,
9.8.9. Installed apps,9.8.9,C-0-1,,,Yes,,,,,,,,,,,,,,,,,,
,9.9.3,C-1-14,,,Yes,,,,,,,,,,,,,,,,,,
9.9.4. Resume on Reboot,9.9.4,C-0-1,,,Yes,,,,,,,,,,,,,,,,,,
